slug	risk	outcome	entry_shown	bet	probs	readings	why
charset-cannot-decode	45	untested	v8B/T9	R2	R1=45; R2=60; R3=55	R1=Decode leniently with replacement characters and return 200; R2=Undecodable bytes under the declared charset are 400 (malformed charset); R3=Fold into non-tabular content, 400	"A reference implementation calling bytes.decode(charset) raises on bad bytes, and the author who wrote ""malformed charset"" most likely asserted the 400 that fell out of that rather than a well-formed 200."
distinct-count-semantics	40	ok	v8/T92	R1	R1=60; R2=45; R3=30	R1=Distinct over present cells only, compared as stored values; R2=Distinct over all cells, blank counts as one value; R3=Distinct over raw source text	Fixtures for missing_count will have blanks, so this edge is exercised, and whether the reference set-counted blanks is close to a coin flip.
plain-reingestion-downgrade	38	ok	v8A/T70	R1	R1=62; R2=55	R1=Re-ingestion without enrich=yes stores a non-enriched dataset; R2=Enrichment is sticky and later re-ingestions keep recomputing metadata	"Requests without re-ingestion do not change stored enrichment state implies re-ingestion can, and a per-ingestion enrich flag is the simplest reference, but ""re-ingestion recomputes metadata from current source bytes"" nudges toward sticky enrichment."
force-empty-value	35	untested	v8B/T75	R1	R1=68; R2=55	R1=force= (empty) is the presence flag; only non-empty values are 400; R2=force= is a value and 400; only bare force is the flag	Python test clients spell a bare flag as force= via params, which favors R1, but an author who wrote any force value is 400 may well have included the empty case.
single-column-tabular	35	flip	v8B/T2	R1	R1=65; R2=60	R1=A file with no delimiter is a valid one-column table; R2=No delimiter means inference fails, so 400 non-tabular	A non-tabular fixture made of prose or HTML would be accepted as one column under R1, while a single-column CSV fixture would be rejected under R2; both fixtures are plausible.
force-repeated	32	ok	v8A/T46	R1	R1=72; R2=60	R1=force present twice is 400; R2=Repeats are harmless, force&force forces	If present once is precise enough that the author probably rejected repeats in the reference, but the spec never lists a repeat row for force the way it does for controls, so a test may never probe it.
numeric-detection-grammar	32	ok	ABCFGHJK/T7	R2	R1=62; R2=68	R1=Strict decimal grammar; 007 and 1_000 and nan stay text; 1e3 is a number; R2=Anything int() or float() accepts is a number, so 007 becomes 7	Integers/decimals are JSON numbers reads to most authors as int-then-float, and a zero-padded id in a fixture would then be asserted as 7; the strict grammar only wins if the author consciously protected leading zeros.
column-type-labels	30	ok	ABCHJK/A114	R1	R1=65; R2=40; R3=25	R1=Non-missing cells: any text is text, all-int integer, all-fractional float, mixed numeric number; R2=Never emit number: mixed numeric column is text; R3=Any numeric column is number, integer and float never emitted	Four listed labels imply all four are produced and mixed-numeric is the only natural home for number, but the spec never says so and the missing-cell and empty-column edges are guesses.
non-tabular-definition	30	flip	v8B/T1	R2	R1=70; R2=75	R1=non-tabular means fewer than a header plus one data row; R2=also HTML, JSON or binary bodies even with several lines	A test author asserting 'Non-tabular content -> 400' may well serve a multi-line HTML page, which R1 happily parses into rows.
losing-sort-validated	28	ok	v8B/T28	R1	R1=75; R2=60	R1=Both sort params are validated; an invalid _sort with a valid _sort_desc is 400; R2=_sort_desc wins outright and the ignored _sort is not validated	"The unknown-column 400 rows are unconditional, but ""wins"" could just as easily mean the loser is discarded, and a test combining a bad _sort with a good _sort_desc is a coin-flip on which the author picked."
cache-enabled-strict-values	28	flip	ABCHJK/A69	R2	R1=68; R2=90; R3=85	R1=env var at startup, exact one of eight words ASCII-case-insensitive, no trim, empty fails; R2=same but surrounding whitespace trimmed (checkpoint 6 says trimmed); R3=unset or empty means default true	Checkpoint 6 spells out 'case-insensitive, trimmed', so a padded value is the one probe a test author might write and R1 fails it; everything else agrees.
boolean-value-trimming	25	ok	v8B/T93	R3	R1=75; R2=30; R3=82	"R1=Trim whitespace; a value that trims to empty falls back to the default; R2=Whitespace is significant, so "" true "" fails startup; R3=Trim whitespace, but an empty-after-trim value is invalid and fails startup"	"The spec says ""trimmed"" outright, so padded spellings must pass; the only open edge is an empty value, and ""strict"" plus ""invalid values fail startup"" makes a 400-style startup failure the more natural assertion than silent fallback."
exact-contains-vs-number	25	ok	v8/T31	R1	R1=75; R2=75; R3=35; R4=70	R1=compare against str of the stored typed value; R2=compare against the original cell text; R3=numbers never match string comparators; R4=typed comparison of parsed filter value	A test filtering a numeric column with exact=30 passes R1 R2 and R4 alike; only trailing-zero decimals or a numbers-never-match choice split them.
invalid-config-line	25	untested	v8/T75	R1	R1=75; R2=40; R3=55	R1=non KEY=VALUE lines and bad typed values exit, unknown keys tolerated, split at first equals; R2=malformed lines silently skipped; R3=unknown keys also invalid	A malformed-line probe almost certainly expects an exit, but whether an unknown key is 'invalid config' is a coin the spec never flips.
numeric-cell-whitespace	22	ok	ABCFGHJK/T18	R1	R1=72; R2=55; R3=60	R1=Padded numerics like 42 with spaces become numbers; other text kept verbatim; R2=Padded cell stays a string; R3=Numbers parsed and all strings trimmed	Python int/float accept padding so a reference implementation likely parses it, but a strict-cell author could assert the string; padded fixtures are uncommon.
config-read-failure	20	ok	ABCHJK/A86	R1	R1=82; R2=55	R1=Unset or empty means no file; any other unreadable path fails startup; R2=A missing config path is silently ignored, only unreadable existing files fail	The spec makes read failure fatal and a test that points DATAGATE_CONFIG at a missing file most naturally expects a non-zero exit, though many suites never test it.
delimiter-inference	20	flip	ABCHJK/A7	R1	R1=80; R2=70; R3=70	R1=Score each of , ; tab pipe by field-count consistency then column count, fixed tie order; R2=csv.Sniffer-style detection; R3=Count candidate delimiters in the header line only	Tests will feed clean comma, semicolon and tab files that any consistent scorer gets right; the residual risk is a deliberately tricky file where the tie-break lands on the wrong one.
missing-value-definition	20	ok	ABCFGHJK/T85	R1	R1=80; R2=82; R3=55; R4=15	R1=Missing is empty, whitespace-only, or null; distinct excludes them; R2=Missing is exactly the empty string; R3=Also sentinel spellings like NA; R4=Only JSON null	Blank cells are the obvious fixture; whitespace-only cells and NA sentinels are less likely to appear, but a sentinel-counting reference would fail R1.
ragged-rows	20	ok	ABCHJK/A12	R1	R1=80; R2=40; R3=65	R1=Pad short rows with empty strings, truncate long rows; R2=Ragged file is non-tabular, 400; R3=Keep rows at their source length	Fixtures are probably rectangular, but a ragged fixture could be treated as non-tabular by the reference.
charset-on-spreadsheet	20	ok	ABCHJK/A59	R1	R1=80; R2=30	R1=charset ignored and unvalidated for spreadsheets, bogus charset on xlsx is 200; R2=charset name still validated for every source, bogus is 400	'applies and validates only for text CSV sources' reads as a direct instruction that a bad charset does not fail an xlsx ingest.
mixed-type-sort-order	20	untested	v8/T21	R1	R1=75; R2=35; R3=15	R1=numbers numerically then text by code point, numbers before text; R2=everything compared as text; R3=locale collation	A numeric column with 9 and 100 is the obvious probe and only R1 orders it numerically; a mixed column with blanks is where R1 could still miss.
env-variable-names	18	ok	min4/T55	R1	R1=80; R2=5; R3=25	R1=Bare setting names as env vars; env beats file beats defaults; R2=List is strongest-first, defaults override everything; R3=Env vars are DATAGATE_-prefixed	Checkpoint 5 had no config file, so CACHE_ENABLED must already have been read bare from the environment; the only way the precedence list makes sense is weakest-first.
method-not-allowed	18	ok	ABCHJK-rerun/A17	R2	R1=78; R2=78	R1=Wrong method on a known path is 405 with JSON envelope; R2=Wrong method on a known path is 404 like unknown routes	The spec only says unknown routes are 404; if a test hits GET /upload or POST /convert it was most likely written against that sentence, though a framework default 405 is equally plausible for the reference.
config-precedence-direction	18	ok	ABCFGHJK/T65	R1	R1=82; R2=18; R3=2	R1=env overrides file overrides defaults; R2=file overrides env; R3=list read literally so defaults win	The list is written low-to-high which is the only reading that leaves every source live, and env-beats-file is the convention a test author would assert.
rowid-numbering	18	ok	ABCHJK/A27	R1	R1=80; R2=80	R1=count parsed rows so header is 1 and nth data row is n+1; R2=physical source-file line number, dropped blank lines still count	Both readings agree on any fixture without blank lines, and 'source-file row number' slightly favours R2 if a blank-line fixture exists.
blank-lines-as-rows	15	flip	v8/T13	R1	R1=85; R2=20; R3=80	R1=Blank lines skipped; a delimited line of empty cells is a real row; R2=Every physical line is a row, trailing newline adds an empty row; R3=Blank lines skipped and all-empty delimited rows also dropped	A header-only file ending in a newline is the obvious non-tabular fixture, so tests almost surely need blank lines to not count as data rows.
cache-enabled-unset	15	ok	v8B/T72	R1	R1=80; R2=75	R1=Unset and empty string both mean the default (caching on); R2=Unset is default but empty string fails startup	Tests will set the variable unset or to a listed/invalid token; an empty-string case is rarely written, and if it were the spec's default wording favors treating it as unset.
cache-key-charset	15	ok	v8A/T42	R1	R1=85; R2=75	R1=Cache key is (source, charset); different charset re-ingests and validates; R2=Cache key is source alone; charset on a repeat is ignored	Cache tests repeat the identical request and count origin fetches; a repeat with a changed charset is unlikely to be asserted either way.
empty-filter-value	15	ok	ABCFGHJK/T36	R1	R1=85; R2=70; R3=65	R1=Empty value is an ordinary operand: exact matches empty cells, contains matches all; R2=Empty filter value is HTTP 400; R3=Filter with empty value is ignored	No error row exists for an empty filter value, and less/greater still 400 by the numeric rule, so a test is unlikely to demand another outcome.
cache-hit-optional	15	ok	min4/T49	R1	R1=85; R2=35	"R1=With caching on, a repeat convert is always a cache hit and never re-downloads; R2=""can"" is permission: the service may re-download whenever it likes"	The checkpoint exists to contrast cached repeats against force and CACHE_ENABLED=false, so a test that swaps the source bytes and expects the old data on a plain repeat is the obvious one to write.
duplicate-filter-key	15	ok	ABCFGHJK/T33	R1	R1=85; R2=35; R3=60	R1=Duplicate means the full column__comparator name repeated; R2=Duplicate means the same column in two filters; R3=Only conflicting values of a repeated key are rejected	The ANDed-filters rule only earns its keep if a two-sided range on one column is legal, so a test that pairs b__greater with b__less is more likely than one that forbids it.
export-pagination-default	15	untested	v8A/T34	R1	R1=85; R2=65	R1=Export applies the default _size of 100 like the query route; R2=Export dumps everything unless _size or _offset is given	The same pagination as /datasets/<id> reads as defaults included; a test author with that reference would keep fixtures under 100 rows for the bulk case and test _size explicitly.
byte-order-mark	15	untested	ABCFGHJK/T19	R1	R1=85; R2=60	R1=Decode with given charset, then drop one leading U+FEFF; R2=Decode strictly, BOM stays in first column name	"A BOM fixture is most likely tested without charset, and a test author who saw ""﻿id"" in a golden would have fixed the reference rather than asserted it."
charset-empty	15	ok	ABCFGHJK/T4	R1	R1=85; R2=85	R1=Empty or blank charset means omitted, so detect; R2=Empty charset is malformed, 400	Empty charset is rarely a fixture, and a Python reference with `if charset:` would also treat it as omitted.
config-unknown-key	15	untested	ABCHJK/A82	R1	R1=85; R2=75	R1=Unknown keys are ignored; R2=Unknown key is invalid config and exits	An invalid-config test more naturally uses a bad boolean or malformed line than a stray key.
csv-filetype-label	15	untested	v8/T89	R1	R1=85; R2=20; R3=40	R1=CSV datasets carry filetype csv; R2=filetype is the media type text/csv; R3=Any non-empty label	The one pinned label excel is a family name, so a test asserting the CSV counterpart will almost surely spell it csv.
export-cell-rendering	15	ok	v8A/T33	R1	R1=85; R2=60	R1=Render stored typed values, so 1.50 exports as 1.5; R2=Re-emit exact source cell text	The reference stores typed rows and has no source text to re-emit, and semantic CSV comparison forgives the rest.
export-toggles-validated	15	ok	v8B/T53	R1	R1=85; R2=65	R1=Export validates all controls like the JSON view, ignores shape rowid total once parsed; R2=Export silently ignores controls it does not need	"A reference that reuses the query parser returns 400 on export, and ""do not affect output"" reads as output, not validity."
numeric-filter-value	15	ok	v8/T33	R1	R1=85; R2=80	R1=Anything float parses is numeric: 1e3, inf, nan, padded; R2=Only the integer and decimal forms of type inference	Tests will use abc for the 400 case; exponent, inf or nan bounds are unlikely fixtures, though a strict author could reject nan.
cache-key-and-lifetime	15	ok	v8B/T70	R1	R1=85; R2=75; R3=80	R1=key is the source URL string alone, in-memory, force re-parses; R2=key is source plus charset; R3=cache persists across restart	Tests will most naturally count downloads for the same URL with and without force, which every reading passes; charset-variant and restart probes are unlikely.
