problem,difficulty,category,checkpoints
cfgpipe,Easy,configuration-management,6
circuit_eval,Medium,simulation,8
code_search,Easy,developer-tools,5
dag_execution,Hard,dsl,3
database_migration,Medium,databases,5
datagate,Easy,web,7
dynamic_buffer,Hard,data-processing,4
dynamic_config_service_api,Medium,web,4
env_manager,Easy,cli-tools,5
etl_pipeline,Easy,data-processing,5
eve_industry,Hard,data-processing,6
eve_jump_planner,Medium,algorithms,3
eve_market_tools,Hard,web,4
eve_route_planner,Medium,algorithms,3
execution_server,Easy,networking,6
file_backup,Easy,file-systems,4
file_merger,Medium,data-processing,4
file_query_tool,Medium,data-processing,5
forge,Easy,web,8
l2m,Easy,developer-tools,5
layered_config_synthesizer,Medium,configuration-management,4
log_query,Medium,developer-tools,5
meshctl,Hard,cli-tools,8
metric_transform_lang,Hard,dsl,5
migrate_configs,Easy,cli-tools,5
mocked_http,Hard,web,8
mvvault,Medium,cli-tools,6
pwd_manager,Medium,cli-tools,5
recli,Hard,developer-tools,8
rejector,Hard,data-processing,5
sheeteval,Hard,developer-tools,7
sith,Hard,developer-tools,6
test_translator,Hard,developer-tools,8
textdrop,Easy,web,6
trajectory_api,Medium,web,5
xjq,Easy,developer-tools,5
