tid	differs	outcome	preference	why
T10	45	-	Plain int()/float() parse: 007 becomes 7, padded or signed cells become numbers	The author's implementation is most likely try-int-then-float, and a zero-padded code or a mixed column in a fixture would expose the agent's canonical-form regex.
T27	40	patched	First data row has rowid 2 because the header is source-file row 1	"A rowid test almost certainly exists and ""source-file row number"" reads like a line number that counts the header."
T110	35	-	distinct_count counts the missing cell as a value, or counts typed values	A hand-rolled len(set(column)) over all cells includes the empty cell, and the enrichment fixture almost surely has a missing value in a column whose distinct_count is asserted.
T23	35	-	Sort compares stored cell text lexicographically, so 10 sorts before 9	The float-parse wording for comparators hints values are stored as text, and a sort test on a multi-digit numeric column would expose lexicographic ordering.
T60	35	-	Format is recognised from the filename or URL extension, so a .txt/.json/.pdf source is 400	The spec spells .xls/.xlsx with dots and names an unrecognised-format error whose natural fixture is a text-ish file the sniffer would happily parse as CSV.
T18	30	-	Specific header set: `*` origin without an Origin request header, plus preflight Allow-Methods/Headers	A flask-cors style implementation always sends `*` and answers OPTIONS with method and header lists; a test asserting those without sending Origin would fail an echo-Origin or bare implementation.
T22	30	patched	Detected 8-bit codepage must round-trip exactly (latin-1 fixture decodes to the right accents)	The author likely has a small latin-1 fixture without charset that chardet gets right, and asserts the decoded text, which a different detector or a structural-only reading can miss.
T15	30	later flip: single-column 400 (min2, ABCFGHJK)	A file with no delimiter is non-tabular and gets 400	csv.Sniffer raises on single-column input, and the author's non-tabular fixture may well be a multi-line text file the agent would accept as one column.
T8	30	-	Duplicate headers are suffixed (a, a_2) or rejected with 400 at ingestion	A SQLite- or pandas-backed store cannot hold two columns named a verbatim, so if the author fixtures duplicate headers their result is mangled or an error.
T72	30	later flip: cache flag not trimmed (min3, min2b)	Values are trimmed before matching, so ' true ' starts fine	Checkpoint 6 states booleans are trimmed, which reflects a strip().lower() in the implementation that a padded-value fixture would exercise.
T9	25	-	Short rows padded (or file rejected) with a definite fixture expectation	A csv.reader or DictReader based impl does something specific with ragged rows and the author may have written a fixture for it; the agent pinned nothing.
T6	25	-	Non-tabular judged loosely; a delimiter-less or single-column body may still ingest	The author's fixture is probably one HTML or plain-text body both readings reject, but an author using csv.Sniffer or a Content-Type check may accept inputs the agent's stricter structural rule refuses.
T111	25	-	NA-like tokens (NA, N/A, null) count as missing, pandas-style	If enrichment uses pandas, default na_values would count such tokens, and a missing-count fixture might include them.
T56	25	patched	Upload accepts charset and a latin-1 upload decodes to exact text (café)	The multi-format section implies charset reaches uploads too, and detection-only ingestion may mangle an 8-bit fixture the author decodes exactly.
T88	25	-	Unknown setting keys are invalid config and fail startup	Config parsers often validate keys against the settings table, and an unknown-key fixture is an easy invalid-config test to write.
T112	25	-	A numeric column with missing cells is float, or number is used for all numeric columns	Four labels invite the chosen partition, but a pandas dtype path would label an int column with blanks as float and may never emit number.
T116	25	-	Spreadsheet summary is exactly {filetype: excel}	The add-only wording reads like a literal one-key dict the author may assert by equality.
T25	22	-	`_sort=bad&_sort_desc=good` is 200 sorted by `_sort_desc`, `_sort` never validated	The obvious elif implementation of 'desc wins' reads only one parameter, so an author test with an invalid ignored `_sort` would expect 200.
T121	22	-	Second `enrich=yes` on an enriched dataset must not re-fetch the origin (hit count stays 1)	Authors testing their own cache typically count origin hits, and 'may' describes their impl serving from cache; the agent asserts nothing either way.
T74	20	patched	force must carry no value; ?force=1 is 400	'If present once' points to counting occurrences, but 'additional value' leaves room for a value-rejecting implementation the author might test with force=1.
T11	20	later flip: cell whitespace trimmed (just-solve, min0)	"Padded numeric cells such as "" 42 "" become numbers"	Both Python int() and pandas accept surrounding whitespace, so a padded numeric would be typed as a number by most author implementations.
T4	20	-	Empty charset is falsy and falls through to detection (200)	A typical `if charset:` guard treats charset= as omitted, but a hidden fixture with an empty charset is itself unlikely.
T84	20	-	A missing config file is ignored and the service starts on defaults	An os.path.exists guard before reading is a common pattern, though the read-failure sentence suggests the author exits.
T107	18	later flip: repeated enrich (v8B)	Repeated enrich=yes still enables enrichment via args.get	A framework get() returns one value so both copies read as yes, but a repeated-enrich test is not a natural fixture.
T61	15	-	Native spreadsheet cell types decide the JSON type (text cell '12' stays text, bool cell becomes true)	An openpyxl/xlrd impl keeps native cell values rather than re-inferring from text, but the fixtures the author writes (numeric cells) agree under both readings.
T65	15	-	Header compared exactly to `text/csv`	If the author's framework emits bare `text/csv` the hidden test may assert equality, failing an impl that appends charset.
T50	15	-	Export shares the control parser, so _shape=banana is 400 on export too	The author probably validates controls in one shared function before ignoring shape, but a hidden test of an invalid value on export is uncommon.
T70	15	-	Cache persists in STORAGE_DIR, so a restarted instance serves without re-download	A persisted-dataset implementation treats the stored file as the cache, but the restart tests more likely check /datasets than download counts.
T122	15	-	Enriched state survives a plain forced re-ingestion	The 'upgrade' and 'downgrade' wording hints at a stateful flag the author may carry forward, but a hidden test forcing without enrich after enriching is uncommon.
