slug	risk	outcome	bet	probs	readings	why
distinct-count-semantics	40	ok	R1	R1=60; R2=60; R+=40	R1=Distinct over non-missing source text; R2=Distinct over non-missing stored values; R+=Distinct over all cells, empty counts as one value	A csv-module reference with len(set(column)) counts the empty string as a value while a pandas nunique excludes it, and a fixture with blanks will pin one of them.
single-column-tabular	35	flip	R+	R1=55; R+=65	R1=File with no delimiter is a valid one-column table; R+=No inferable delimiter means non-tabular, HTTP 400	A non-tabular fixture is often multi-line prose or HTML, which R1 accepts as a one-column table, and csv.Sniffer in a reference implementation raises on delimiter-free text.
column-type-labels	35	ok	R1	R1=65; R2=35; R+=40	R1=all ints integer, all floats float, int/float mix number, any text text, over non-missing; R2=numeric columns always number; R+=mixed numeric/text is number not text	Four labels with no definition means the reference picked a lattice the spec never states, so even the most natural one is a coin-weighted guess on mixed columns.
force-empty-value	30	untested	R2	R1=55; R2=80	R1=force= is a value and is HTTP 400; only a bare force is presence; R2=Empty string is presence, any non-empty value is HTTP 400	A Python reference implementation cannot tell ?force from ?force= through its query parser, so its tests will treat the empty value as presence while asserting 400 only for force=1 or force=true.
numeric-detection-grammar	30	ok	R1	R1=75; R2=62; R3=68	R1=int() then float() style: signs, exponents and leading zeros all numbers, non-finite stay text; R2=strict grammar: no leading zeros, no exponent, no plus; R3=signs and exponents numbers, leading zeros text	The spec carves out only time-like values, which suggests a try-int-then-float reference, but a zip-code style 007 fixture expecting text is a live possibility.
ragged-rows	30	ok	R1	R1=65; R+=45; R++=45	R1=Pad short rows with empty strings, truncate long rows; R+=Reject ragged file as non-tabular; R++=Rows keep their natural length	A pandas-based reference 400s on long rows and pads short ones with null, so any ragged fixture can disagree with empty-string padding.
non-tabular-definition	28	flip	R2	R1=55; R2=82; R3=70	R1=only the header-plus-one-data-row rule; R2=row rule plus rejecting empty, binary, markup and JSON payloads; R3=also require at least two columns	The natural non-tabular fixture is an HTML page or binary blob, which usually has more than one line and slips past a pure row-count rule.
charset-empty	25	ok	R1	R1=70; R+=60	R1=Empty charset equals omitted, fall through to detection; R+=Empty charset is malformed, 400	A malformed-charset fixture is usually a bogus codec name, and args.get('charset') falsiness makes empty-as-omitted the reference-natural path, but an empty-string edge test is plausible.
spreadsheet-summary-counts	25	ok	R1	R1=75; R+=80	R1=Spreadsheet summary carries filetype, row_count and column_count; R+=Spreadsheet summary is filetype only	A test asserting dataset_summary == {'filetype': 'excel'} exactly is a real possibility given the word 'only', though a key lookup is more common.
charset-on-spreadsheet	25	ok	R1	R1=80; R2=40; R3=82	R1=spreadsheet ignores charset entirely, even an unknown codec name gives 200; R2=codec name still validated for any source, only decode is CSV-only; R3=as R1 but bad charset plus unreachable source still 400	applies and validates only for text CSV sources reads like a sentence written to back a test that an xlsx with a bogus charset ingests, so a name check on spreadsheets is the exposed side.
config-line-grammar	22	ok	R3	R1=72; R2=78; R3=85	R1=strict: any non-blank non-comment line that is not KEY=VALUE, or an unknown key, fails startup; R2=permissive: unparseable lines and unknown keys ignored; R3=malformed lines fail but unknown keys are ignored; all split at first = and trim	Tests most likely exercise bad values (a non-integer size, a bad boolean) where every reading agrees, but a stray unknown key or a bare line in a fixture would split the strict and permissive readings.
force-repeated	22	ok	R1	R1=82; R2=60	R1=force present twice is 400; R2=a repeated presence flag is idempotent and forces	"An author who wrote ""if present once"" was probably thinking of the repeat and pairing it with the repeated-control 400, but the case may go untested."
losing-sort-validated	22	ok	R1	R1=75; R+=65	R1=a bad _sort is still 400 when _sort_desc is present; R+=a losing _sort is ignored	"The 400 rule is unconditional, but a reference written as ""if _sort_desc: use it, elif _sort: ..."" never looks at the loser, and the combination is plausible in a precedence test."
config-unknown-key	22	untested	R2	R1=70; R2=85	R1=Unknown key fails startup; R2=Unknown key ignored	Invalid-config fixtures are usually a bad value or a non KEY=VALUE line, so neither reading is likely exercised, but an extra-key-tolerated test is likelier than an extra-key-rejected one.
mixed-type-sort-order	22	untested	R1	R1=78; R2=55; R3=35	R1=total order, numbers numerically first then text by code point; R2=compare every value as its string form; R3=raise or 500 on mixed columns	A numeric column must sort 2 before 10 to satisfy the type rules, but what the reference does on a genuinely mixed column is unknowable and could be probed.
blank-lines-as-rows	20	flip	R1	R1=85; R2=70; R3=65	R1=Drop every blank or all-whitespace line before the two-row check; R2=Keep interior blank lines as empty rows, drop trailing newline only; R3=Every empty record kept as a row of empty strings, trailing newline creates none	All readings ignore the trailing newline, which is what a header-only 400 test exercises; interior blank lines are unlikely in author-generated fixtures, and if present a csv.reader-based reference most naturally skips them.
cache-key-charset	20	ok	R1	R1=85; R2=50	R1=Id from URL alone; cache hit only when charset matches, else re-ingest and replace; R2=Id from URL alone; every repeat re-fetches and overwrites	A cache test naturally counts fetches at the mock origin and expects one, which R2 fails; a same-URL-different-charset test is improbable so R1's re-ingest choice is safe either way.
