slug	agree	stdlib	tests	effect	note
invalid-url-definition	yes	urllib.request.urlopen fetches file:, ftp:, data: schemes; only a scheme-less string raises ValueError	not-a-url, missing scheme, file:///tmp/nope.csv and empty source are all 400 (cp1 test_convert_bad_params, test_convert_bad_url, test_empty_source_parameter)	break	urlopen treats file:///tmp/nope.csv as a fetch that fails (URLError), which maps to 404; every run rejected non-http schemes up front and passed.
charset-cannot-decode	partly	bytes.decode(charset) is strict by default and raises UnicodeDecodeError	no fixture pairs a valid charset with bytes it cannot decode; no signal	none	ABCFGHJK's cp1/cp4 latin1 misses are the single-column-file choice (name,cafe is one column), not this question.
size-offset-spelling	partly	int() accepts +5, padded ' 5 ', 1_0, non-ASCII digits; rejects 5.0, 1e3, 0x10, empty	size 0,-1,3.1,abc,'' and offset -1,oops,2.5 are 400 (cp2 test_bad_size_values, test_bad_offset_values, test_empty_param_value_400); int() plus range check rejects all	none	The spellings where int() and the runs' ^[0-9]+$ grammars differ are never sent.
objects-duplicate-columns	partly	dict(zip(columns,row)) keeps the last duplicate; no stdlib rule on rowid position	no duplicate-header fixture anywhere; no signal	none	
numeric-filter-value	yes	float(): accepts 1e1, nan, inf, ' 5 '; rejects abc, '1,2', none, ''	abc, '1,2', none, cheap are 400; 1e1 is accepted (cp3 test_numeric_rejects_non_numeric, test_numeric_scientific_notation)	neutral	nan and inf are never sent.
export-cell-rendering	partly	csv.writer writes str(value): 5.99 stays 5.99, 42 stays 42, 18.00 becomes 18.0	export cells must equal str(query value) (cp4 test_export_matches_query_params, test_uploaded_export_params, test_export_single_row); test_export_rows skips the 18.00 row	none	ABCHJK exports source text and still passes: the fixtures avoid every cell where str(number) and source text differ.
upload-field-choice	yes	email.parser returns both parts in order; nothing in the stdlib picks one	no request carries both fields; no signal	none	
fail-startup-manifestation	yes	sys.exit(msg) prints to stderr and exits 1; argparse errors exit 2	service_factory raises RuntimeError on any early exit or on never becoming ready; exit code and message unchecked (cp5 test_invalid_value_fails_startup, cp6 test_invalid_env_fails)	none	
domain-boundary-rules	yes	urllib.request.proxy_bypass_environment: lowercases both sides, strips a leading dot, matches the bare domain and label-boundary subdomains only	badexample.com is 403; example.com, sub.example.com, Sub.Example.com vs EXAMPLE.COM, u:p@host:8443 are allowed (cp6 test_allowlist_boundary_confusable_rejects and friends)	neutral	http.cookiejar.domain_match would break: a bare entry matches only itself and .example.com excludes the bare host; no test sends a leading-dot entry.
csv-filetype-label	yes	none (mimetypes gives text/csv, a media type, not a label)	only asserts the filetype key exists for CSV (cp7 test_summary_required_keys); no signal	none	
