tid	defect	outcome	hidden	why
T110	45	-	distinct_count counts empty cells as one more distinct value	The field is never defined, and a reference doing len(set(column)) over every cell would count the empty string, so a fixture with missing values asserts a number the text does not fix.
T23	45	-	"Cells compared as source text, so ""10"" sorts before ""9""; or mixed columns sorted as strings."	The spec says only sorts ascending by column and never fixes number-versus-string ordering, so a reference storing cells as TEXT would sort lexicographically and the tests would follow it.
T60	45	-	Format is chosen by file-name/URL extension and unknown extensions are HTTP 400	"The spec writes `.xls` and `.xlsx` as extensions and promises 400 for ""unrecognized format"", which an extension-keyed reference satisfies with a `.txt` fixture that content sniffing happily parses as a one-column CSV."
T112	45	-	A column mixing integers and decimals is `float`; integer columns with missing cells are `float` or `number`	The spec lists four labels with no assignment rule, so a pandas-dtype reference would never emit `number` the way the tester does and could label missing-bearing integer columns differently.
T10	40	-	Python int()/float() acceptance decides numeric-ness, so 007 becomes 7 and 1e3 becomes 1000	Integers/decimals is never pinned to a lexical form, and a reference built on try-parse would make leading zeros, signs and exponents numbers where the canonical-form reading keeps them text.
T122	40	-	A forced or cache-disabled plain re-ingestion of an enriched dataset stays enriched with recomputed metadata	Re-ingestion recomputes metadata from current source bytes can be read as enrichment persisting through re-ingestion, so a test asserting stickiness after force is as supportable as the tester's downgrade reading.
T11	40	later flip: cell whitespace trimmed (just-solve, min0)	"Cells are trimmed before type inference; "" 42"" is the number 42."	Python int()/float() accept padded text and hand-written fixtures often put a space after the comma, so a reference would number-ify padded cells without anyone deciding to.
T15	40	later flip: single-column 400 (min2, ABCFGHJK)	A file with no recognised delimiter is Non-tabular content, HTTP 400.	The spec makes delimiter inference mandatory and lists Non-tabular content as an error, so a sniffer-based reference would reject one-column text and any plain-text page.
T72	40	later flip: cache flag not trimmed (min3, min2b)	Boolean values are trimmed before matching, so padded spellings are accepted	"Checkpoint 6 later says ""(case-insensitive, trimmed)"", which suggests the reference trims already and a test could pass a padded value the strict reading refuses."
T29	38	-	Unknown _-prefixed parameter is an invalid control parameter and returns 400	Control params (names beginning with _) defines the class by prefix, so a test author can call _foo an invalid control parameter even though no error row lists it.
T111	38	-	NA-like tokens (NA, N/A, null, nan) and whitespace-only cells count as missing.	Missing is never defined, and a pandas-backed reference counts its default NA tokens as missing so tests built on it would too.
T9	35	-	Short rows padded with empty cells (or ragged file rejected as non-tabular 400)	"The spec is silent on field-count mismatch, so any assertion beyond ""no 5xx"" comes from the reference implementation, not the text."
T22	35	patched	Latin-1 or cp1252 fixtures round-trip exactly with no charset given	Detect encoding from content reads as unconditional, and a test author who happened to pick a byte sequence chardet guesses right would assert a round-trip the spec never promised to be achievable.
T50	35	-	Invalid _shape/_rowid/_total values on /export are still 400	Do not affect CSV output was likely written about valid values, and a reference that validates all controls before branching would return 400 where the literal reading says ignore.
T74	35	patched	force with any value, e.g. force=1, is 400 because a presence flag takes no value	"Any additional force value reads at least as naturally as ""a value beyond presence"" as it does ""a second occurrence"", so a test sending force=true and expecting 400 is plausible."
T25	33	-	_sort_desc present means _sort is ignored unvalidated, so an unknown _sort column still yields 200	_sort_desc wins reads naturally as pick-one-and-ignore-the-other in a reference implementation, while the unqualified error row supports validating both; the text supports either.
T6	30	-	Plain multi-line text with no delimiter is non-tabular even though it has two rows	Non-tabular is never defined and the header-plus-data-row rule admits a one-column prose file, so a test built on an HTML or prose fixture asserts a heuristic the text never states.
T34	30	-	Unknown control names such as _foo, or non-filter names with a single underscore, are 400	Without _ and without __ are ignored literally leaves my_col and _foo unclassified, so a strict reference could reject them where the tester ignores them.
T99	30	-	An empty environment value is treated as unset and selects the default.	Unset is the default for two settings and harnesses commonly export empty strings for absent values, so a test may set MAX_SOURCE_SIZE= expecting no limit.
T107	30	later flip: repeated enrich (v8B)	enrich=yes&enrich=yes is HTTP 400, or the first value wins and enriches.	Only exact enrich=yes is a value rule not a count rule, and a reference using args.get would enrich on the first value while one copying force would 400.
T4	30	-	Empty charset counts as omitted: detect encoding and answer 200	"A reference that does `if charset:` treats empty as absent, and ""if omitted"" reads naturally as ""if no usable value was given"", so an edge-case test could go either way."
T24	30	-	Leading plus or zeros are rejected: only canonical digits are a positive integer	A regex-based reference rejects `+5` and `05` while an int()-based one accepts them; the spec names the value not the spelling so either is defensible.
T56	30	patched	`/upload` honours a `charset` query parameter (or field) exactly as `/convert` does, including 400 for a bad one	charset applies only to text CSV sources sits in a section that covers both endpoints, so a test could upload a latin-1 file with `charset=latin-1` and expect an exact round-trip that detection alone may not deliver.
T88	30	-	An unknown key is invalid config and fails startup	Invalid config has no definition, so a test author with a strict parser could reasonably write `UNKNOWN=1` expecting exit; the spec text does not settle it.
T121	28	-	Second enrich=yes on an enriched dataset must not contact the origin (cache hit count asserted)	may use cache grants permission, but a test author whose reference caches will often assert the origin is hit once, turning may into must.
T63	28	patched	A malformed charset is ignored for a spreadsheet source and the request succeeds.	Charset applies only to text CSV sources invites a reference that validates charset lazily on the CSV path, and a test proving the charset is ignored might use a bogus value.
T75	28	-	With caching disabled a repeated force is ignored, HTTP 200.	Force has no additional effect when caching is disabled can be read as skipping the parameter entirely, including its validation, though a test for this corner is unlikely.
T83	28	-	Settings read from DATAGATE_-prefixed environment variables.	Direct environment variables never spells the names, and DATAGATE_CONFIG shows a prefix, though CACHE_ENABLED already passed unprefixed in the previous checkpoint.
T13	25	-	Empty or NULL-like cells become JSON null (pandas-style coercion)	Strings remain text is the natural catch-all, but a reference built on a dataframe library would coerce NULL/None/true and a test author may not notice the spec never says so.
T18	25	-	Access-Control-Allow-Origin must be literally * and OPTIONS must answer 2xx with Allow-Methods/Allow-Headers	Include CORS headers names no header or value, so a test asserting an exact wildcard or specific preflight headers reads more than the sentence says.
T38	25	-	Empty filter values are 400 like empty _sort values	The empty-value rule sits next door under sorting, and a reference sharing one validator across sort and filter would reject k__exact= without any filtering-section sentence saying so.
T27	25	patched	The first data row has rowid 2 because the header is line 1 of the source file.	Source-file row number literally names the file line, but the datasette model this API copies numbers data rows from 1, and that is what most authors would build.
T8	25	-	Duplicate labels are suffixed (a, a.1) the way pandas renames them	"The spec never mentions duplicates; only a pandas-backed reference would rename, and the later ""keyed by column name"" sections hint the author assumed distinct names."
T96	25	-	Preflight OPTIONS requests are checked too and fail 403 without a Referer	Check every request before routing literally includes OPTIONS, and a middleware-first reference would 403 a preflight, though a test combining CORS and allowlist is niche.
T116	25	-	"The spreadsheet summary is exactly `{""filetype"": ""excel""}` or must include the two counts"	add only `dataset_summary` can be read as constraining the keys rather than the fields, and a test could compare the whole object literally.
T5	22	-	file:// treated as unreachable source and answered 404 rather than 400	URL of the remote CSV file plus two error rows (Invalid URL 400, unreachable 404) lets a test pin either status for a non-HTTP scheme without the text choosing.
T61	22	-	"Spreadsheet cells keep native cell types (text cell ""12"" stays text; date cells rendered some fixed way)"	The type rules are written for CSV text and the spreadsheet section adds none, so anything about native cell types or dates in a test is invented beyond the text.
T36	22	-	`exact` compares the filter string against the stored JSON value rendered back to text	"A reference that stores typed values and compares `str(value)` diverges on cells like `1.500` or `007`, but such fixtures are uncommon and ""float parse on stored values"" implies text."
T37	20	-	inf/nan (or exponent forms) rejected as non-numeric filter values with 400	"float parse names Python semantics, but a test author who thinks of nan or 1e3 as non-numeric could assert 400 under ""non-numeric filter values""."
T54	20	-	A part named file without a filename is a missing file field, 400	"Frameworks file such parts under form fields not files, so a reference using request.files would 400 even though the spec says ""field""."
T7	20	-	Empty header cells renamed (Unnamed: n / column_n) or the file rejected as non-tabular.	The spec gives no naming rule at all, so a pandas-backed reference would silently emit its own labels and the test would inherit them.
T19	20	-	"A quoted ""1"" stays a string; a repeat convert with cache on never re-fetches."	The tester committed to nothing here, so only a test on quoted numerics could bite, and the type rules never mention quoting.
T35	20	-	Split at the first __, so a__b__exact is an invalid comparator, HTTP 400.	"A column label containing __ is an unlikely fixture, and a reference using split(""__"", 1) instead of rsplit would only matter if such a fixture exists."
T12	20	-	Cells reading nan/inf parse as floats and are emitted as NaN/Infinity	"A float()-based inference in the reference would swallow `nan`, but ""all errors are JSON"" plus ""decimals are JSON numbers"" make text the reading most authors would also take."
T64	20	-	Interior blank rows are data rows of empty cells	A sheet reader hands back empty rows unless filtered, and nothing in the spec says spreadsheet blanks are skipped, so a fixture with a gap could count it.
T84	20	-	A missing config file is treated as no config and the service starts on defaults	"A reference guarded by `if os.path.exists(path)` would start normally, though ""read failure ... exits"" reads naturally as covering a missing file."
T59	18	-	GET /upload is specifically 405 (or specifically 404).	The spec fixes only POST, the tester accepts either code, so a contradiction needs a test that pins the one the implementation did not choose.
